upper,lower,f_THz,|d| [C·m] (from Ω),Ω(1 V/m) [Hz],visible_yield(500–600nm),FoM = Ω×yield
29P_3/2,27D_5/2,0.382652989692219,1.1036099053735897e-27,1665557.2323661451,0.06125,640981.5397535166
27D_5/2,29P_3/2,0.382652989692219,1.1036099053735897e-27,1665557.2323661451,0.06125,640981.5397535166
30P_3/2,28D_5/2,0.34015445889353757,1.1977652222095023e-27,1807655.511983066,0.05625,638878.1936250484
30D_5/2,32P_3/2,0.2723146696342756,1.3976395998176258e-27,2109303.960016159,0.0475,629524.5133725893
23P_3/2,21D_5/2,0.8721906479743863,6.196203269169812e-28,935124.9130627367,0.105,616934.1269840044
21P_3/2,19D_5/2,1.2180175029537461,4.8912314610509905e-28,738179.8491897859,0.1325,614551.003679303
23D_5/2,25P_3/2,0.6458239379478665,7.655331555475919e-28,1155335.1212507896,0.08375,607956.7151670888
28P_3/2,26D_5/2,0.4325367530043768,1.0133091053555102e-27,1529276.1516815275,0.0625,600545.3404290946
21D_5/2,23P_3/2,0.8721906479743863,6.196203269169814e-28,935124.9130627371,0.1,587556.3114133378
25D_5/2,27P_3/2,0.4914823339433892,9.268627630761348e-28,1398812.180767572,0.065,571284.7492106719
20P_3/2,18D_5/2,1.461230623047806,4.296549068670448e-28,648430.9664761135,0.13875,565296.9040780129
26P_3/2,24D_5/2,0.5616446292622874,8.442708079983652e-28,1274165.2131703831,0.07,560407.1302418048
33D_5/2,35P_3/2,0.20063041559105926,1.7263610805526787e-27,2605407.1908829,0.03375,552496.1461079223
26D_5/2,28P_3/2,0.4325367530043768,1.0133091053555104e-27,1529276.1516815277,0.05625,540490.8063861852
20D_5/2,19P_3/2,3.100018697855256,1.1002317340346158e-28,166045.8929353093,0.51375,535993.892732944
31D_5/2,33P_3/2,0.24509162336241067,1.5033587396757513e-27,2268854.2477880167,0.0375,534586.1877687622
28D_5/2,30P_3/2,0.34015445889353757,1.1977652222095025e-27,1807655.5119830663,0.04625,525299.8480917065
22D_5/2,24P_3/2,0.7477032389792496,6.906497034763854e-28,1042321.7506979756,0.08,523928.0567471379
18D_5/2,20P_3/2,1.461230623047806,4.296549068670449e-28,648430.9664761137,0.1275,519462.0199635795
12P_3/2,11D_5/2,1.0546845467947377,4.399670040615e-28,663993.8823030364,0.1225,511069.5841545873
19P_3/2,20D_5/2,3.100018697855256,1.1002317340346156e-28,166045.89293530927,0.4825,503390.85789517354
36P_3/2,34D_5/2,0.1823953069221867,1.843644332350652e-27,2782409.922841352,0.02875,502618.9179402397
19D_5/2,21P_3/2,1.2180175029537461,4.891231461050991e-28,738179.849189786,0.10625,492800.3331390638
11D_5/2,12P_3/2,1.0546845467947377,4.399670040615e-28,663993.8823030364,0.1175,490209.60112786945
34D_5/2,36P_3/2,0.1823953069221867,1.843644332350652e-27,2782409.922841352,0.0275,480765.92150805535
30D_5/2,30P_3/2,0.36628772749141786,6.857800090787825e-28,1034972.4557307519,0.07125,463333.3155617912
33P_3/2,31D_5/2,0.24509162336241067,1.5033587396757508e-27,2268854.2477880158,0.0325,463308.02939959377
31P_3/2,29D_5/2,0.3037234636355841,1.2957751061319991e-27,1955571.066397396,0.0375,460770.5771825113
32D_5/2,34P_3/2,0.22137963291595109,1.6129325575080261e-27,2434221.977707708,0.03,458840.0329424011
34P_3/2,32D_5/2,0.22137963291595109,1.6129325575080258e-27,2434221.9777077073,0.03,458840.032942401
22P_3/2,22D_5/2,1.0532207174454769,3.573924727436925e-28,539373.2104732905,0.135,457512.5472028283
11P_3/2,10D_5/2,1.5605938140466036,3.4049853452657217e-28,513877.04480490927,0.13875,447993.87679409125
22D_5/2,22P_3/2,1.0532207174454769,3.573924727436926e-28,539373.2104732906,0.12875,436331.410758253
19P_3/2,17D_5/2,1.7737649564840028,3.7403984291930345e-28,564497.2580745842,0.1225,434488.00753998035
24D_5/2,24P_3/2,0.7795047441944415,4.295873448468192e-28,648329.0025386097,0.105,427724.98261174385
23P_3/2,23D_5/2,0.9026675776235221,3.9266482987110837e-28,592605.9054954341,0.11375,423542.74671308213
27D_5/2,27P_3/2,0.521811222568669,5.502566884192982e-28,830441.990953644,0.07875,410903.3971369608
27P_3/2,27D_5/2,0.521811222568669,5.50256688419298e-28,830441.9909536437,0.07875,410903.39713696064
31P_3/2,31D_5/2,0.3283798274717418,7.342555388026562e-28,1108131.249187799,0.05875,409052.39652024617
17D_5/2,19P_3/2,1.7737649564840028,3.740398429193036e-28,564497.2580745843,0.115,407886.7009559
36D_5/2,38P_3/2,0.1520525694497002,2.089775103801813e-27,3153868.06625079,0.02,396326.74989299715
19D_5/2,19P_3/2,1.76640108210131,2.6147510122318435e-28,394615.655228756,0.1575,390512.31768932746
35P_3/2,33D_5/2,0.20063041559105926,1.7263610805526787e-27,2605407.1908829,0.02375,388793.58429816755
23D_5/2,23P_3/2,0.9026675776235221,3.9266482987110846e-28,592605.9054954342,0.10375,386308.21952951455
31D_5/2,31P_3/2,0.3283798274717418,7.342555388026563e-28,1108131.2491877992,0.055,382942.66908278374
10D_5/2,11P_3/2,1.5605938140466036,3.4049853452657226e-28,513877.0448049094,0.1175,379382.201969771
35D_5/2,37P_3/2,0.16630476744409045,1.9647823341597904e-27,2965230.205665194,0.02,372621.817212813
32D_5/2,32P_3/2,0.29552842362018844,7.843816669634702e-28,1183781.1095979356,0.04875,362598.4086436967
38D_5/2,40P_3/2,0.1280836910814478,2.351325009908946e-27,3548596.61627586,0.01625,362317.9644579898
28D_5/2,28P_3/2,0.46157341179810035,5.9378062119209745e-28,896127.8829140048,0.06375,358946.76863905054
34D_5/2,34P_3/2,0.24188454119964747,8.895858200288233e-28,1342554.1843590196,0.0425,358509.46082342527
30P_3/2,30D_5/2,0.36628772749141786,6.857800090787823e-28,1034972.4557307515,0.055,357660.8049950668
17P_3/2,15D_5/2,2.7263082154007625,2.7436748774564534e-28,414072.7183725267,0.135,351228.90872459306
37P_3/2,35D_5/2,0.16630476744409045,1.9647823341597893e-27,2965230.2056651926,0.01875,349332.953637012
18P_3/2,16D_5/2,2.1821919884809455,3.2227754900568104e-28,486378.1123765294,0.11375,347620.43332129193
28P_3/2,28D_5/2,0.46157341179810035,5.937806211920974e-28,896127.8829140047,0.06125,344870.4247708524
29D_5/2,29P_3/2,0.4102639476739464,6.38955047989432e-28,964304.6842492787,0.05625,340813.4075842229
16D_5/2,18P_3/2,2.1821919884809455,3.2227754900568113e-28,486378.1123765295,0.11,336160.4190359747
29P_3/2,29D_5/2,0.4102639476739464,6.389550479894319e-28,964304.6842492786,0.05375,325666.1450249241
26D_5/2,26P_3/2,0.593007789631548,5.083832030666078e-28,767246.9380332533,0.0675,325400.94144196186
39P_3/2,39D_5/2,0.15438235217921084,1.1814831537422653e-27,1783082.7741329945,0.02875,322098.8852776266
38P_3/2,36D_5/2,0.1520525694497002,2.0897751038018125e-27,3153868.0662507894,0.01625,322015.4842880601
25P_3/2,25D_5/2,0.6777740373186368,4.681601101687452e-28,706542.6411997704,0.07125,316302.8568733607
24P_3/2,24D_5/2,0.7795047441944415,4.295873448468191e-28,648329.0025386096,0.07625,310609.80880138534
19P_3/2,19D_5/2,1.76640108210131,2.6147510122318426e-28,394615.6552287559,0.125,309930.41086454556
26P_3/2,26D_5/2,0.593007789631548,5.083832030666077e-28,767246.9380332532,0.06375,307323.1113618528
32P_3/2,32D_5/2,0.29552842362018844,7.8438166696347e-28,1183781.1095979353,0.04125,306814.0380831279
35D_5/2,35P_3/2,0.2198869162520946,9.446638875533825e-28,1425677.463031683,0.03375,302325.60448679863
18D_5/2,18P_3/2,2.1452955345365288,2.328019760834002e-28,351342.45632162894,0.1325,292500.3431136689
21D_5/2,21P_3/2,1.2392272277568483,3.2377016169696035e-28,488630.74879359757,0.095,291664.96643832873
37D_5/2,39P_3/2,0.13938349488265397,2.2186226576995087e-27,3348323.529383252,0.01375,289274.38654818747
39P_3/2,37D_5/2,0.13938349488265397,2.2186226576995072e-27,3348323.52938325,0.01375,289274.38654818735
