upper,lower,f_THz,|d| [C·m] (from Ω),Ω(1 V/m) [Hz],visible_yield(500–600nm),FoM = Ω×yield
25D_5/2,27P_3/2,0.33459131904326145,1.783927739138457e-27,2692286.226748601,0.13375,2262532.8238765993
28P_3/2,26D_5/2,0.29607690706860207,1.9401430337027676e-27,2928044.8153594187,0.1225,2253687.399922134
22P_3/2,20D_5/2,0.6734685487247627,1.1012540831370464e-27,1662001.8485795928,0.215,2245173.103032631
15D_5/2,16P_3/2,0.8014325819954113,1.0505742741728581e-27,1585516.3785378356,0.2225,2216565.740097537
26P_3/2,24D_5/2,0.38008346815592314,1.63427265600848e-27,2466428.244816923,0.1425,2208326.1635391153
13D_5/2,14P_3/2,1.3040867488474552,7.637543988929983e-28,1152650.639174059,0.3025,2190801.062011806
15P_3/2,14D_5/2,1.0121708130805127,9.01537877854602e-28,1360592.112667252,0.25625,2190643.420164923
32D_5/2,34P_3/2,0.1554023919986886,3.015199466304091e-27,4550509.426996577,0.07625,2180116.66535639
35P_3/2,33D_5/2,0.1412960487763618,3.2173363156271294e-27,4855572.375125629,0.07125,2173727.8466302208
27D_5/2,29P_3/2,0.26325243722973524,2.102918546917943e-27,3173704.021540493,0.10875,2168580.539425949
34P_3/2,32D_5/2,0.1554023919986886,3.015199466304091e-27,4550509.426996577,0.07375,2108637.4304266726
14P_3/2,12D_5/2,3.4467466565765092,3.5008334054180487e-28,528342.3399257367,0.63125,2095543.4722850583
12D_5/2,14P_3/2,3.4467466565765092,3.5008334054180496e-28,528342.3399257368,0.63,2091393.881250831
32P_3/2,30D_5/2,0.1897856173706138,2.6306064280473436e-27,3970085.3901451174,0.08375,2089125.5085471817
29D_5/2,31P_3/2,0.21083068351238848,2.448150243273701e-27,3694724.3077010433,0.08875,2060299.0767250988
20P_3/2,18D_5/2,0.9394098965620988,8.741052720701915e-28,1319191.0933900583,0.2425,2010015.1081225174
34D_5/2,36P_3/2,0.12884636337041713,3.426033381686767e-27,5170535.937935947,0.06125,1989855.4204233438
26D_5/2,28P_3/2,0.29607690706860207,1.9401430337027676e-27,2928044.8153594187,0.10625,1954728.8672794017
30D_5/2,32P_3/2,0.1897856173706138,2.6306064280473436e-27,3970085.3901451174,0.07625,1902039.6421101205
35D_5/2,37P_3/2,0.11781714177725465,3.6412906618066605e-27,5495400.111388421,0.055,1899073.9480321833
18D_5/2,20P_3/2,0.9394098965620988,8.741052720701917e-28,1319191.0933900585,0.22625,1875323.3740730707
28D_5/2,30P_3/2,0.23510504114661748,2.2722542829308114e-27,3429263.851550176,0.08625,1858402.8962608096
36P_3/2,34D_5/2,0.12884636337041713,3.426033381686766e-27,5170535.9379359465,0.05625,1827418.2432459276
31P_3/2,29D_5/2,0.21083068351238848,2.4481502432737004e-27,3694724.3077010424,0.07625,1770116.1081722674
37P_3/2,35D_5/2,0.11781714177725465,3.6412906618066605e-27,5495400.111388421,0.05125,1769591.6333936253
13P_3/2,11D_5/2,4.577530710183375,2.85697085896192e-28,431171.2366511002,0.6475,1754160.8844055075
30P_3/2,28D_5/2,0.23510504114661748,2.2722542829308114e-27,3429263.851550176,0.08125,1750669.3950282992
11D_5/2,13P_3/2,4.577530710183375,2.856970858961921e-28,431171.23665110033,0.63375,1716910.3636941945
31D_5/2,33P_3/2,0.1714503166968542,2.8196228363484446e-27,4255347.097519156,0.06125,1637649.4795550015
19P_3/2,17D_5/2,1.1261587217203868,7.7037067705153525e-28,1162635.861202822,0.2175,1588849.8019543502
33D_5/2,35P_3/2,0.1412960487763618,3.21733631562713e-27,4855572.37512563,0.05,1525423.0502668223
17D_5/2,19P_3/2,1.1261587217203868,7.703706770515355e-28,1162635.8612028223,0.19875,1451879.9914410447
16D_5/2,18P_3/2,1.3658209019174867,6.731957157783851e-28,1015980.3638524188,0.21625,1380451.9634443806
12P_3/2,10D_5/2,6.260320235616807,2.278628816636185e-28,343888.4235224019,0.6375,1377455.6148655051
10D_5/2,12P_3/2,6.260320235616807,2.2786288166361855e-28,343888.42352240195,0.62375,1347745.7878782104
18P_3/2,16D_5/2,1.3658209019174867,6.73195715778385e-28,1015980.3638524186,0.20375,1300657.052262624
15D_5/2,17P_3/2,1.6785208553682602,5.825800936090426e-28,879224.1566684901,0.2275,1256784.6889090266
38P_3/2,36D_5/2,0.10801146864116996,3.8631081529199436e-27,5830164.890854565,0.03375,1236330.2153469943
16P_3/2,14D_5/2,2.0942969859403164,4.985233607399082e-28,752366.5608118608,0.2575,1217269.0690303775
14D_5/2,16P_3/2,2.0942969859403164,4.985233607399083e-28,752366.560811861,0.2525,1193632.7764278462
36D_5/2,38P_3/2,0.10801146864116996,3.863108152919944e-27,5830164.890854566,0.03125,1144750.1993953653
17P_3/2,15D_5/2,1.6785208553682602,5.825800936090425e-28,879224.15666849,0.19375,1070338.6086862588
13D_5/2,15P_3/2,2.659288590528855,4.210248163671681e-28,635406.5186362963,0.25875,1033027.523387767
15P_3/2,13D_5/2,2.659288590528855,4.2102481636716795e-28,635406.518636296,0.25625,1023046.5811328124
12P_3/2,12D_5/2,8.634190156637464,9.912914178031477e-30,14960.472738287126,0.61375,57692.14555794277
12D_5/2,12P_3/2,8.634190156637464,9.912914178031478e-30,14960.47273828713,0.60125,56517.152776721945
22D_5/2,21P_3/2,2.050946160166434,1.9236648618254168e-29,29031.76120168428,0.25875,47199.088290951986
21P_3/2,22D_5/2,2.050946160166434,1.9236648618254165e-29,29031.761201684276,0.24875,45374.96893671229
24D_5/2,23P_3/2,1.5281679751601775,2.1046384734513345e-29,31762.997177759837,0.22375,44654.41336886553
23D_5/2,22P_3/2,1.7639623394723503,2.0142675512125655e-29,30399.12809324462,0.2275,43453.26325943894
25P_3/2,26D_5/2,1.1691058953804077,2.2847071332015155e-29,34480.57570898792,0.1975,42787.94971886674
24P_3/2,25D_5/2,1.3326305074386324,2.1947834019899367e-29,33123.45558754344,0.205,42664.765941487036
